phi,S
1.4418873925449684,0.0
1.443849666910803,8.469425343354066e-05
1.4458119412766375,0.0001994034237385381
1.4477742156424718,0.00033754290213672245
1.449736490008306,0.0004956762927610918
1.4516987643741406,0.0006715807577601398
1.453661038739975,0.0008636630560309325
1.4556233131058094,0.0010707080815971766
1.4575855874716437,0.0012917493084955408
1.4595478618374782,0.0015259940915253126
1.4615101362033127,0.001772777085461407
1.463472410569147,0.0020315294606285273
1.4654346849349815,0.0023017576219736264
1.467396959300816,0.0025830279594609273
1.4693592336666503,0.002874955594151557
1.4713215080324846,0.003177195866582481
1.4732837823983191,0.0034894377638072654
1.4752460567641537,0.0038113987519595863
1.477208331129988,0.004142820650202026
1.4791706054958222,0.004483466291010985
1.4811328798616568,0.004833116784183141
1.4830951542274913,0.005191569251251871
1.4850574285933256,0.005558634931302362
1.4870197029591599,0.00593413758350647
1.4889819773249944,0.006317912129263964
1.490944251690829,0.006709803489719023
1.4929065260566632,0.007109665584003731
1.4948688004224975,0.007517360460782008
1.496831074788332,0.007932757541175265
1.4987933491541665,0.008355732955398244
1.5007556235200008,0.008786168958741038
1.502717897885835,0.00922395341513307
1.5046801722516696,0.009668979338586533
1.5066424466175041,0.01012114448446513
1.5086047209833384,0.010580350983851239
1.5105669953491727,0.011046505015360577
1.5125292697150075,0.011519516509632094
1.5144915440808417,0.011999298882442578
1.516453818446676,0.012485768792993202
1.5184160928125106,0.012978845924407113
1.520378367178345,0.013478452783894071
1.5223406415441794,0.013984514520383674
1.5243029159100137,0.014496958757721069
1.5262651902758482,0.01501571544176669
1.5282274646416827,0.015540716699952429
1.530189739007517,0.01607189671202633
1.5321520133733513,0.01660919159087138
1.5341142877391858,0.017152539272416317
1.5360765621050203,0.017701879413770903
1.5380388364708546,0.018257153298817094
1.540001110836689,0.01881830375057277
1.5419633852025234,0.01938527504971943
1.543925659568358,0.01995801285875103
1.5458879339341922,0.020536464151258274
1.5478502083000265,0.02112057714591243
1.549812482665861,0.021710301244756834
1.5517747570316955,0.022305586975453814
1.5537370313975298,0.02290638593716924
1.5556993057633641,0.023512650749806987
1.5576615801291989,0.024124335006332813
1.5596238544950332,0.02474139322795127
1.5615861288608675,0.025363780821922945
1.563548403226702,0.025991454041824145
1.5655106775925365,0.02662436995007273
1.5674729519583708,0.02726248638255756
1.569435226324205,0.027905761915222763
1.5713975006900396,0.028554155832470594
1.573359775055874,0.029207628097258524
1.5753220494217084,0.02986613932277641
1.5772843237875427,0.030529650745598297
1.5792465981533772,0.031198124200211744
1.5812088725192117,0.03187152209483577
1.583171146885046,0.032549807388445415
1.5851334212508803,0.033232943568926636
1.5870956956167148,0.033920894632291
1.5890579699825493,0.03461362506288529
1.5910202443483836,0.035311099814536236
1.592982518714218,0.03601328429257401
1.5949447930800524,0.03672014433668233
1.596907067445887,0.0374316462045272
1.5988693418117212,0.038147756556119794
1.6008316161775555,0.03886844243887126
1.6027938905433903,0.03959367127330037
1.6047561649092246,0.04032341083935735
1.6067184392750589,0.04105762926333204
1.6086807136408934,0.04179629500531162
1.610642988006728,0.04253937684716026
1.6126052623725622,0.043286843880992736
1.6145675367383965,0.04403866549811579
1.616529811104231,0.044794811378412555
1.6184920854700655,0.04555525148014753
1.6204543598358998,0.04631995603017097
1.622416634201734,0.047088895514502314
1.6243789085675686,0.047862040669273256
1.6263411829334031,0.04863936247201307
1.6283034572992374,0.04942083213325977
1.6302657316650717,0.0502064210884809
1.6322280060309062,0.05099610099028885
1.6341902803967407,0.051789843700936915
1.636152554762575,0.05258762128508318
1.6381148291284093,0.053389406002809545
1.6400771034942438,0.05419517030288348
1.6420393778600784,0.05500488681625196
1.6440016522259127,0.055818528349757084
1.645963926591747,0.05663606788006334
1.6479262009575815,0.05745747854778641
1.649888475323416,0.05828273365181507
1.6518507496892503,0.05911180664381801
1.6538130240550848,0.05994467112292723
1.6557752984209193,0.06078130083058943
1.6577375727867536,0.0616216696455798
1.659699847152588,0.06246575157917044
1.6616621215184224,0.06331352077044644
1.663624395884257,0.06416495148176392
1.6655866702500912,0.06502001809434434
1.6675489446159255,0.06587869510399916
1.66951121898176,0.06674095711697905
1.6714734933475945,0.06760677884594293
1.6734357677134288,0.06847613510604222
1.6753980420792631,0.0693490008111156
1.6773603164450976,0.07022535096998903
1.6793225908109322,0.07110516068287748
1.6812848651767665,0.07198840513788468
1.6832471395426007,0.0728750596075965
1.6852094139084353,0.07376509944576405
1.6871716882742698,0.07465850008407321
1.689133962640104,0.0755552370289978
1.6910962370059384,0.0764552858587326
1.6930585113717729,0.07735862222020283
1.6950207857376074,0.07826522182614751
1.6969830601034417,0.07917506045227428
1.6989453344692762,0.08008811393448263
1.7009076088351107,0.08100435816615205
1.702869883200945,0.08192376909549419
1.7048321575667793,0.08284632272296598
1.7067944319326138,0.08377199509874074
1.7087567062984483,0.08470076232023574
1.7107189806642826,0.08563260052969439
1.712681255030117,0.08656748591182072
1.7146435293959514,0.08750539469146358
1.716605803761786,0.08844630313134937
1.7185680781276202,0.08939018752986162
1.7205303524934545,0.0903370242188656
1.722492626859289,0.09128678956157547
1.7244549012251236,0.09223945995046319
1.7264171755909579,0.09319501180520763
1.7283794499567922,0.09415342157068243
1.7303417243226267,0.09511466571498031
1.7323039986884612,0.09607872072747313
1.7342662730542955,0.09704556311690671
1.7362285474201298,0.09801516940952865
1.7381908217859643,0.09898751614724752
1.7401530961517988,0.09996257988582258
1.742115370517633,0.10094033719308339
1.7440776448834676,0.10192076464717774
1.7460399192493021,0.1029038388348458
