phi,U
0.8944128444771684,-0.45778075797520734
0.8963751188430028,-0.45807420563133405
0.8983373932088372,-0.45836524884851304
0.9002996675746716,-0.45865389353294816
0.902261941940506,-0.4589401456000789
0.9042242163063404,-0.45922401097455734
0.9061864906721748,-0.4595054955902256
0.9081487650380092,-0.459784605390093
0.9101110394038436,-0.46006134632631324
0.912073313769678,-0.46033572436016124
0.9140355881355124,-0.46060774546201033
0.9159978625013468,-0.46087741561130935
0.9179601368671813,-0.4611447407965594
0.9199224112330158,-0.46140972701529104
0.9218846855988502,-0.4616723802740411
0.9238469599646846,-0.4619327065883292
0.925809234330519,-0.46219071198263517
0.9277715086963534,-0.4624464024903756
0.9297337830621878,-0.4626997841538806
0.9316960574280222,-0.4629508630243704
0.9336583317938566,-0.4631996451619321
0.935620606159691,-0.46344613663549694
0.9375828805255254,-0.4636903435228157
0.9395451548913598,-0.4639322719104364
0.9415074292571942,-0.46417192789368034
0.9434697036230286,-0.46440931757661896
0.945431977988863,-0.46464444707205
0.9473942523546974,-0.46487732250147396
0.9493565267205318,-0.4651079499950709
0.9513188010863662,-0.46533633569167643
0.9532810754522006,-0.46556248573875825
0.955243349818035,-0.46578640629239265
0.9572056241838695,-0.4660081035172404
0.9591678985497039,-0.4662275835865234
0.9611301729155384,-0.46644485268200075
0.9630924472813727,-0.4666599169939447
0.9650547216472072,-0.46687278272111743
0.9670169960130416,-0.46708345607074675
0.968979270378876,-0.4672919432585019
0.9709415447447104,-0.46749825050847016
0.9729038191105448,-0.467702384053133
0.9748660934763792,-0.46790435013334153
0.9768283678422136,-0.4681041549982927
0.978790642208048,-0.4683018049055053
0.9807529165738824,-0.468497306120796
0.9827151909397168,-0.46869066491825473
0.9846774653055512,-0.46888188758022087
0.9866397396713856,-0.4690709803972595
0.98860201403722,-0.46925794966813594
0.9905642884030544,-0.46944280169979313
0.9925265627688888,-0.4696255428073258
0.9944888371347232,-0.4698061793139571
0.9964511115005577,-0.46998471755101423
0.9984133858663921,-0.4701611638579031
1.0003756602322265,-0.4703355245820854
1.002337934598061,-0.47050780607905307
1.0043002089638953,-0.47067801471230397
1.0062624833297298,-0.4708461568533181
1.008224757695564,-0.471012238881532
1.0101870320613986,-0.4711762671843148
1.0121493064272329,-0.47133824815694403
1.0141115807930674,-0.4714981882025798
1.0160738551589017,-0.47165609373224116
1.0180361295247362,-0.47181197116478124
1.0199984038905705,-0.4719658269268623
1.021960678256405,-0.47211766745293093
1.0239229526222393,-0.47226749918519373
1.0258852269880738,-0.4724153285735918
1.0278475013539081,-0.4725611620757768
1.0298097757197426,-0.4727050061570851
1.0317720500855772,-0.47284686729051373
1.0337343244514114,-0.4729867519566947
1.0356965988172457,-0.473124666643871
1.0376588731830803,-0.47326061784787055
1.0396211475489148,-0.4733946120720821
1.041583421914749,-0.4735266558274295
1.0435456962805836,-0.4736567556323471
1.0455079706464179,-0.47378491801275424
1.0474702450122524,-0.4739111495020307
1.0494325193780867,-0.4740354566409908
1.0513947937439212,-0.4741578459778588
1.0533570681097555,-0.4742783240682438
1.05531934247559,-0.4743968974751136
1.0572816168414243,-0.4745135727687705
1.0592438912072588,-0.4746283565268251
1.061206165573093,-0.4747412553341718
1.0631684399389276,-0.47485227578296285
1.065130714304762,-0.47496142447258305
1.0670929886705964,-0.47506870800962475
1.0690552630364307,-0.4751741330078618
1.0710175374022652,-0.4752777060882246
1.0729798117680995,-0.47537943387877435
1.074942086133934,-0.47547932301467744
1.0769043604997686,-0.4755773801381801
1.0788666348656029,-0.4756736118985827
1.0808289092314372,-0.4757680249522146
1.0827911835972717,-0.47586062596240764
1.0847534579631062,-0.4759514215994711
1.0867157323289405,-0.47604041854066603
1.088678006694775,-0.47612762347017934
1.0906402810606093,-0.47621304307909784
1.0926025554264438,-0.4762966840653833
1.094564829792278,-0.4763785531338456
1.0965271041581126,-0.4764586569961178
1.098489378523947,-0.47653700237062957
1.1004516528897814,-0.4766135959825818
1.1024139272556157,-0.4766884445639207
1.1043762016214502,-0.4767615548533116
1.1063384759872845,-0.47683293359611345
1.108300750353119,-0.476902587544352
1.1102630247189533,-0.476970523456695
1.1122252990847878,-0.4770367480984251
1.1141875734506221,-0.4771012682414143
1.1161498478164567,-0.47716409066409793
1.118112122182291,-0.47722522215144836
1.1200743965481255,-0.47728466949494874
1.12203667091396,-0.4773424394925676
1.1239989452797943,-0.4773985389487314
1.1259612196456286,-0.4774529746742997
1.127923494011463,-0.4775057534865379
1.1298857683772976,-0.4775568822090913
1.1318480427431319,-0.4776063676719593
1.1338103171089664,-0.47765421671146835
1.1357725914748007,-0.47770043617024616
1.1377348658406352,-0.47774503289719517
1.1396971402064695,-0.47778801374746604
1.141659414572304,-0.4778293855824316
1.1436216889381383,-0.4778691552696601
1.1455839633039728,-0.47790732968288896
1.1475462376698071,-0.477943915701998
1.1495085120356416,-0.4779789202129835
1.151470786401476,-0.4780123501079312
1.1534330607673104,-0.47804421228498994
1.1553953351331447,-0.4780745136483451
1.1573576094989793,-0.4781032611081921
1.1593198838648138,-0.4781304615807098
1.161282158230648,-0.47815612198803303
1.1632444325964824,-0.47818024925822744
1.1652067069623169,-0.478202850325262
1.1671689813281514,-0.47822393212898207
1.1691312556939857,-0.478243501615083
1.17109353005982,-0.4782615657350836
1.1730558044256545,-0.4782781314462988
1.175018078791489,-0.47829320571181344
1.1769803531573233,-0.47830679550045496
1.1789426275231576,-0.4783189077867671
1.180904901888992,-0.4783295495509824
1.1828671762548266,-0.4783387277789959
1.184829450620661,-0.4783464494623382
